Name,Latitude,Longitude,Planning Area
UPPER CHANGI MRT STATION,1.34173748389,103.961471789,Tampines
UPPER THOMSON MRT STATION,1.35441643373,103.832898468,Bishan
WOODLANDS MRT STATION,1.43696824734,103.786462452,Woodlands
WOODLANDS NORTH MRT STATION,1.44746541049,103.786500735,Woodlands
WOODLANDS SOUTH MRT STATION,1.42743341606,103.793244602,Mandai
WOODLEIGH MRT STATION,1.33919004553,103.870818309,Toa Payoh
XILIN MRT STATION,1.32889914133,103.965218532,Tampines
YEW TEE MRT STATION,1.39753501779,103.747405114,Choa Chu Kang
YIO CHU KANG MRT STATION,1.38175604611,103.84494729,Ang Mo Kio
YISHUN MRT STATION,1.42944308081,103.835005046,Yishun
BAKAU LRT STATION,1.38799293427,103.905413992,Puggol
BANGKIT LRT STATION,1.38002223,103.772647371,Bukit Panjang
BEACH LRT STATION,1.25129010168,103.817802341,Southern Islands
BUKIT PANJANG LRT STATION,1.37792612944,103.763103024,Bukit Panjang
CHENG LIM LRT STATION,1.39627763134,103.893797181,Sengkang
CHOA CHU KANG LRT STATION,1.38475541073,103.744537697,Choa Chu Kang
COMPASSVALE LRT STATION,1.3944930462,103.900492451,Sengkang
CORAL EDGE LRT STATION,1.39390922612,103.912580855,Puggol
COVE LRT STATION,1.39928198502,103.905961944,Puggol
DAMAI LRT STATION,1.40523483617,103.908603544,Puggol
FAJAR LRT STATION,1.38452079708,103.770808583,Bukit Panjang
FARMWAY LRT STATION,1.39717019646,103.88930481,Sengkang
FERNVALE LRT STATION,1.39188588774,103.876308611,Sengkang
IMBIAH LRT STATION,1.25393663355,103.819500006,Southern Islands
JELAPANG LRT STATION,1.38670302501,103.764503338,Choa Chu Kang
KADALOOR LRT STATION,1.39950911282,103.916574965,Puggol
KANGKAR LRT STATION,1.38395911467,103.902225371,Sengkang
KEAT HONG LRT STATION,1.37860276598,103.749055519,Choa Chu Kang
KUPANG LRT STATION,1.3982128284,103.881256222,Sengkang
LAYAR LRT STATION,1.39207983877,103.880029601,Sengkang
MERIDIAN LRT STATION,1.39691205306,103.908950217,Puggol
NIBONG LRT STATION,1.41187045845,103.900313818,Puggol
OASIS LRT STATION,1.40228667749,103.912727356,Puggol
PENDING LRT STATION,1.3761357435,103.771261176,Bukit Panjang
PETIR LRT STATION,1.37775033382,103.76666896,Bukit Panjang
PHOENIX LRT STATION,1.37861884445,103.758034099,Choa Chu Kang
PUNGGOL LRT STATION,1.4051947013,103.902411912,Puggol
PUNGGOL POINT LRT STATION,1.4168485205,103.90665079,Puggol
RANGGUNG LRT STATION,1.38423356067,103.89719467,Sengkang
RENJONG LRT STATION,1.38672392153,103.890539427,Sengkang
RIVIERA LRT STATION,1.39452449577,103.916166059,Puggol
RUMBIA LRT STATION,1.39146849684,103.905973595,Puggol
SAM KEE LRT STATION,1.40961268509,103.904831551,Puggol
SAMUDERA LRT STATION,1.41590171944,103.902156316,Puggol
SEGAR LRT STATION,1.38777213086,103.769598397,Bukit Panjang
SENGKANG LRT STATION,1.39160936382,103.895442584,Sengkang
SENJA LRT STATION,1.38269229582,103.762367226,Choa Chu Kang
SENTOSA LRT STATION,1.26505084303,103.821624581,Bukit Merah
SOO TECK LRT STATION,1.40508858485,103.89720965,Puggol
SOUTH VIEW LRT STATION,1.38029828722,103.7452918,Choa Chu Kang
SUMANG LRT STATION,1.40845242565,103.898558454,Puggol
TECK LEE LRT STATION,1.41277089386,103.906577623,Puggol
TECK WHYE LRT STATION,1.37668467944,103.753712232,Choa Chu Kang
TEN MILE JUNCTION LRT STATION,1.38032100849,103.760139777,Choa Chu Kang
THANGGAM LRT STATION,1.3973181559,103.875635156,Sengkang
TONGKANG LRT STATION,1.38934795386,103.88584415,Sengkang
WATERFRONT LRT STATION,1.25553213262,103.820949651,Southern Islands
